,Subdistrict,Cluster Labels,Longitude,Latitude,Acehnese Restaurant,African Restaurant,American Restaurant,Asian Restaurant,Australian Restaurant,BBQ Joint,Bakery,Balinese Restaurant,Betawinese Restaurant,Bistro,Brazilian Restaurant,Breakfast Spot,Buffet,Burger Joint,Cafeteria,Caf̩,Cajun / Creole Restaurant,Cantonese Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Deli / Bodega,Dim Sum Restaurant,Diner,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Fast Food Restaurant,Fish & Chips Shop,Food,Food Court,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,German Restaurant,Greek Restaurant,Halal Restaurant,Hot Dog Joint,Indian Restaurant,Indonesian Meatball Place,Indonesian Restaurant,Italian Restaurant,Japanese Restaurant,Javanese Restaurant,Korean Restaurant,Malay Restaurant,Manadonese Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Modern European Restaurant,Moroccan Restaurant,Noodle House,Padangnese Restaurant,Pizza Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Satay Restaurant,Seafood Restaurant,Shabu-Shabu Restaurant,Snack Place,Soba Restaurant,Soup Place,South American Restaurant,Spanish Restaurant,Steakhouse,Sundanese Restaurant,Sushi Restaurant,Tapas Restaurant,Thai Restaurant,Turkish Restaurant,Udon Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint
0,Cakung,0,106.94010945394294,-6.185562,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Cempaka Putih,0,106.86854766095992,-6.181214499999999,1,0,0,1,0,2,2,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,2,7,0,2,0,1,0,0,0,0,2,0,1,1,1,7,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,Cengkareng,0,106.74471823726267,-6.1528985,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,6,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Cilandak,5,106.80486349194814,-6.28381815,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,7,5,1,0,0,0,1,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1
4,Cilincing,3,106.944453775,-6.12901455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Cipayung,2,106.90373891240544,-6.3293992,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6,Ciracas,2,106.87660392506864,-6.3296346,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,1,2,0,2,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Duren Sawit,2,106.9192472351369,-6.2341378,0,0,0,7,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,5,4,1,3,0,0,0,0,2,0,0,0,0,3,0,2,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8,Gambir,1,106.81674388920455,-6.1711625,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,7,0,1,1,1,0,1,0,0,0,0,0,6,2,1,0,1,0,0,0,6,0,0,0,3,0,0,1,1,0,0,1,0,0,1,0,0
9,Grogol Petamburan,1,106.78831657883393,-6.1641878,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,4,1,3,1,2,1,0,0,0,0,0,0,9,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
10,Jagakarsa,2,106.82223712288322,-6.3301011,1,0,0,8,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,7,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1
11,Jatinegara,2,106.87741729103611,-6.2291469,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,1,0,3,0,0,3,0,5,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,2,0,0,2,0,3,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Johar Baru,4,106.85533232560866,-6.18312505,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,1,1,0,0,0,1,0,1,0,1,0,2,3,0,3,0,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
13,Kalideres,1,106.70159379305983,-6.13700575,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,0,0,2,0,1,1,0,3,0,1,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
14,Kebayoran Baru,5,106.79985029644791,-6.24316375,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,0,7,2,5,1,3,1,1,0,0,0,0,0,2,0,1,0,4,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0
15,Kebayoran Lama,5,106.77778178322814,-6.2491277499999995,0,0,1,2,0,1,3,2,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,1,4,1,2,0,0,0,0,0,0,0,2,1,1,1,2,0,1,1,1,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0
16,Kebon Jeruk,0,106.76972548969255,-6.19257205,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,5,0,3,0,1,0,1,0,0,0,0,0,2,1,4,0,3,0,0,0,4,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0
17,Kelapa Gading,5,106.9024825763434,-6.15993785,0,1,2,6,0,4,3,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,0,1,1,0,0,0,2,0,3,0,2,0,0,0,0,0
18,Kemayoran,4,106.85689034074326,-6.1625464999999995,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,4,0,0,5,0,0,0,0,2,1,1,0,1,0,0,2,0,2,1,0,0,0,0,0,0,2,10,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
19,Kembangan,5,106.74058588053123,-6.191395,0,0,2,3,1,0,1,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,1,3,1,4,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,2,0,2,0,2,0,1,1,0,0
20,Koja,0,106.90736211830226,-6.12074995,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kramat Jati,0,106.86250135058911,-6.2749404,0,0,1,5,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,2,1,0,5,0,0,1,0,2,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,1,0,3,0,0,1,0,3,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22,Makasar,4,106.88869732007157,-6.26958695,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Mampang Prapatan,5,106.8230214656312,-6.25087775,0,0,2,4,0,0,4,0,0,2,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,1,7,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0
24,Matraman,0,106.86457858984426,-6.203624,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,10,0,1,2,1,0,0,1,0,2,0,1,0,0,9,0,3,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
25,Menteng,5,106.83222419920054,-6.1950265,0,0,0,1,0,0,2,1,1,0,0,2,2,0,0,1,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,8,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,3,0,0,1,2,0,0,0,1,0
26,Pademangan,1,106.82897199455174,-6.12905175,0,0,1,4,0,0,0,0,1,0,0,1,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,1,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27,Palmerah,5,106.7943633086912,-6.1910017,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,2,3,0,2,2,2,1,0,0,0,1,0,0,2,1,4,1,3,0,0,1,1,0,1,0,2,0,0,0,0,3,0,0,0,1,0,0,0
28,Pancoran,0,106.84273263156662,-6.2580853,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,4,0,0,2,1,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,4,1,4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
29,Pasar Minggu,2,106.82783467957539,-6.29194985,1,0,1,6,0,0,1,0,0,0,0,2,1,1,0,2,0,0,2,0,0,0,1,2,0,0,0,2,0,0,2,0,5,0,0,0,1,0,1,0,0,8,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,Pasar Rebo,2,106.85337593386294,-6.324972750000001,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,3,0,1,5,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,6,0,4,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
31,Penjaringan,1,106.76743343432852,-6.11726515,0,0,1,0,0,0,2,2,0,1,0,1,0,0,0,2,0,0,7,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,2,0,0,1,0,0,0,0,0,0,5,0,1,0,1,0,1,0,6,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,0
32,Pesanggrahan,0,106.76311195320773,-6.2554579,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,6,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,4,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
33,Pulo Gadung,4,106.89060525673162,-6.1911085,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,16,1,0,0,1,0,0,0,0,1,0,0,4,1,3,0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Sawah Besar,1,106.83357979795008,-6.155891349999999,0,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,10,1,2,0,2,1,1,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
35,Senen,4,106.84323537475049,-6.184971,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,3,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,4,0,0,0,1,1,0,1,0,0,1,1,0,0,2,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0
36,Setiabudi,5,106.82630769589983,-6.22170605,0,0,0,2,0,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,0,1,0,1,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,1,4,3,3,2,1,0,0,0,1,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0
37,Taman Sari,1,106.8184990440433,-6.14614235,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8,1,0,0,3,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
38,Tambora,1,106.80104559691304,-6.1466142,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,2,0,0,15,0,0,0,1,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,Tanah Abang,4,106.80949961953083,-6.2052581,1,0,0,0,0,1,0,0,0,2,1,3,0,1,0,1,0,0,3,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,10,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,1,0,0,2,0,2,0,0,0,1,0,0,0
40,Tanjung Priok,1,106.87079323031739,-6.12885785,0,0,0,6,0,1,1,0,1,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,6,0,4,0,2,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
41,Tebet,0,106.858396,-6.2260164,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,2,9,0,2,0,0,0,1,0,0,2,0,0,2,1,2,0,2,0,0,1,0,1,0,0,1,0,0,2,0,2,0,0,0,1,1,1,0
